,Unnamed: 0,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,target_value,target_id,is_home,current_age
26621,13412,323389,2022-10-13 02:00:00,7,0,93,3.0,1,1,1,0,0,0,1,9,2,0.0,0.0,11091,1,25,69.0,1,False,30.386301369863013
26622,13413,323389,2022-09-11 14:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,9,2,0.0,0.0,11059,1,8,55.0,1,False,30.2986301369863
26623,13414,323389,2021-10-29 14:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,9,2,0.0,0.0,10742,1,40,8.0,1,False,29.43013698630137
26624,13415,323389,2021-04-14 12:30:00,7,3,902,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,10544,1,3,73.0,1,False,28.887671232876716
26625,13417,323389,2022-11-06 04:00:00,7,0,131,3.0,1,1,1,0,0,0,1,9,2,0.0,0.0,11115,1,25,32.0,1,False,30.45205479452055
26626,13418,323389,2022-10-02 14:30:00,7,7,545,3.0,3,0,1,0,0,0,1,9,2,0.0,0.0,11080,1,1,1.0,1,True,30.356164383561644
26627,13419,323389,2021-11-22 08:00:00,7,25,2025,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,10766,1,25,40.0,1,False,29.495890410958904
26628,13420,323389,2021-04-16 12:30:00,7,3,902,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,10546,1,3,0.0,1,False,28.893150684931506
26629,13421,323389,2021-04-10 12:30:00,7,3,508,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,10540,1,3,74.0,1,False,28.876712328767123
26630,13422,323389,2020-12-22 06:00:00,7,5,453,3.0,3,0,1,0,0,0,1,9,2,0.0,0.0,10431,1,5,89.0,1,False,28.578082191780823
26631,13423,323389,2019-02-01 16:00:00,7,3,174,3.0,3,0,1,0,0,0,1,9,2,0.0,0.0,9741,8,3,2.0,1,False,26.687671232876717
26632,13425,323389,2022-10-30 07:00:00,7,0,3404,3.0,2,1,1,0,0,0,1,9,2,0.0,0.0,11108,1,15,49.0,1,False,30.432876712328767
26633,13426,323389,2022-09-04 14:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,9,2,0.0,0.0,11052,1,6,71.0,1,False,30.27945205479452
26634,13428,323389,2019-02-03 12:30:00,7,3,508,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,9743,9,3,1.0,1,False,26.693150684931503
26635,13430,348148,2022-10-14 02:00:00,7,5,93,3.0,1,0,1,0,0,0,1,0,0,0.0,0.0,10434,4,5,38.0,1,False,28.58630136986301
26636,13431,348148,2022-09-23 14:30:00,7,7,487,3.0,3,0,1,0,0,0,1,0,0,0.0,0.0,10413,7,1,19.0,1,True,28.528767123287672
26637,13432,348148,2022-09-07 14:00:00,7,0,848,3.0,3,1,1,0,0,0,1,0,0,0.0,0.0,10397,6,40,4.0,1,False,28.484931506849318
26638,13433,348148,2021-02-14 13:00:00,7,7,545,3.0,3,0,1,0,0,0,1,0,0,0.0,0.0,9827,7,3,18.0,1,True,26.92328767123288
26639,13441,348148,2021-11-19 08:00:00,7,25,2025,3.0,1,0,1,0,0,0,1,0,0,0.0,0.0,10105,8,25,18.0,1,False,27.684931506849317
26640,13447,348148,2022-10-27 11:00:00,7,0,3404,3.0,3,1,1,0,0,0,1,0,0,0.0,0.0,10447,7,9,22.0,1,False,28.621917808219177
26641,13448,348148,2022-10-13 02:00:00,7,0,93,3.0,1,1,1,0,0,0,1,0,0,0.0,0.0,10433,4,25,45.0,1,False,28.583561643835612
26642,13452,348148,2022-09-11 14:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,0,0,0.0,0.0,10401,5,8,6.0,1,False,28.495890410958904
26643,13459,348148,2022-11-06 04:00:00,7,0,131,3.0,1,1,1,0,0,0,1,0,0,0.0,0.0,10457,3,25,4.0,1,False,28.649315068493152
26644,13461,348148,2022-10-02 14:30:00,7,7,545,3.0,3,0,1,0,0,0,1,0,0,0.0,0.0,10422,7,1,9.0,1,True,28.553424657534247
26645,13467,348148,2021-11-22 08:00:00,7,25,2025,3.0,1,0,1,0,0,0,1,0,0,0.0,0.0,10108,7,25,4.0,1,False,27.693150684931503
26646,13468,348148,2021-04-16 12:30:00,7,3,902,3.0,1,0,1,0,0,0,1,0,0,0.0,0.0,9888,8,3,25.0,1,False,27.09041095890411
26647,13469,348148,2021-04-10 12:30:00,7,3,508,3.0,1,0,1,0,0,0,1,0,0,0.0,0.0,9882,6,3,0.0,1,False,27.07397260273973
26648,13475,348148,2022-09-04 14:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,0,0,0.0,0.0,10394,4,6,42.0,1,False,28.476712328767125
26649,13490,922943,2022-10-27 11:00:00,7,0,3404,3.0,3,1,1,0,0,0,1,0,2,0.0,0.0,8789,5,9,17.0,1,False,24.07945205479452
26650,13494,922943,2022-09-11 14:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,0,2,0.0,0.0,8743,8,8,8.0,1,False,23.95342465753425
26651,13502,922943,2021-10-29 14:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,0,2,0.0,0.0,8426,7,40,0.0,1,False,23.084931506849315
26652,13508,922943,2020-12-22 06:00:00,7,5,453,3.0,3,0,1,0,0,0,1,0,2,0.0,0.0,8115,6,5,0.0,1,False,22.232876712328768
26653,13512,922943,2019-02-01 16:00:00,7,3,174,3.0,3,0,1,0,0,0,1,0,2,0.0,0.0,7425,10,3,7.0,1,False,20.34246575342466
26654,13520,922943,2022-09-07 14:00:00,7,0,848,3.0,3,1,1,0,0,0,1,0,2,0.0,0.0,8739,5,40,36.0,1,False,23.942465753424656
26655,13522,922943,2021-07-18 13:30:00,7,1,179,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,8323,8,1,36.0,1,False,22.8027397260274
26656,13524,922943,2019-10-07 13:30:00,7,7,545,3.0,3,0,1,0,0,0,1,0,2,0.0,0.0,7673,9,8,0.0,1,True,21.02191780821918
26657,13531,922943,2021-11-19 08:00:00,7,25,2025,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,8447,7,25,21.0,1,False,23.14246575342466
26658,13540,922943,2022-10-30 07:00:00,7,0,3404,3.0,2,1,1,0,0,0,1,0,2,0.0,0.0,8792,6,15,4.0,1,False,24.087671232876712
26659,13543,922943,2019-02-03 12:30:00,7,3,508,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,7427,8,3,0.0,1,False,20.34794520547945
26660,13553,922943,2017-10-27 16:00:00,7,0,1965,3.0,3,1,1,0,0,0,1,0,2,0.0,0.0,6963,9,8,16.0,1,False,19.076712328767123
